Percentage bonds broken, Iteration number
0.00,0
0,50
0,100
0,150
0,200
0,250
0,300
0,350
0,400
0,450
0,500
0,550
0,600
0,650
0,700
0,750
0,800
0,850
0,900
0,950
0,1000
0,1050
0,1100
6.55651e-06,1150
2.63453e-05,1200
3.95179e-05,1250
3.95179e-05,1300
3.95179e-05,1350
3.95179e-05,1400
3.95179e-05,1450
3.95179e-05,1500
7.24196e-05,1550
9.22084e-05,1600
0.000131726,1650
0.000154793,1700
0.000217319,1750
0.000276625,1800
0.000513732,1850
0.000899017,1900
0.00226891,1950
0.00658607,2000
0.00891423,2050
0.0107287,2100
0.0116935,2150
0.0125168,2200
0.0129284,2250
0.0135442,2300
0.0143741,2350
0.0146968,2400
0.014924,2450
0.0150656,2500
0.0151611,2550
0.0152369,2600
0.0152928,2650
0.0153719,2700
0.0154443,2750
0.0155101,2800
0.0155727,2850
0.0156287,2900
0.0157242,2950
0.0157835,3000
0.0159547,3050
0.0160272,3100
0.0161391,3150
0.0164552,3200
0.0169492,3250
0.0175486,3300
0.0180721,3350
0.0185595,3400
0.0189019,3450
0.0190468,3500
0.0190963,3550
0.0191029,3600
0.0191094,3650
0.0191127,3700
0.0191193,3750
0.0191193,3800
0.0191193,3850
0.0191193,3900
0.0191193,3950
0.0191193,4000
0.0191292,4050
0.0191292,4100
0.0191292,4150
0.0191292,4200
0.0191292,4250
0.0191292,4300
0.0191325,4350
0.0191391,4400
0.0191424,4450
0.0191424,4500
0.0191424,4550
0.0191424,4600
0.0191556,4650
0.0191588,4700
0.0191588,4750
0.0191588,4800
0.0191687,4850
0.0191852,4900
0.0192148,4950
0.0192247,5000
0.0192313,5050
0.019251,5100
0.0192543,5150
0.0192609,5200
0.0192609,5250
0.0192609,5300
0.0192609,5350
0.0192609,5400
0.0192741,5450
0.0192906,5500
0.0193004,5550
0.0193169,5600
0.0193235,5650
0.0193301,5700
0.0193399,5750
0.0193399,5800
0.0193399,5850
0.0193399,5900
0.0193498,5950
0.019363,6000
0.0193729,6050
0.0193794,6100
0.0193959,6150
0.0193992,6200
0.0194124,6250
0.0194124,6300
0.0194321,6350
0.0194321,6400
0.0194387,6450
0.0194387,6500
0.019442,6550
0.019442,6600
0.0194453,6650
0.0194453,6700
0.0194453,6750
0.0194486,6800
0.0194552,6850
0.0194618,6900
0.0194618,6950
0.0194684,7000
0.019475,7050
0.0194815,7100
0.0194882,7150
0.019498,7200
0.0195079,7250
0.0195145,7300
0.019531,7350
0.019531,7400
0.0195408,7450
0.0195408,7500
0.0195441,7550
0.0195507,7600
0.0195606,7650
0.0195639,7700
0.0195639,7750
0.0195639,7800
0.0195639,7850
0.0195639,7900
0.0195639,7950
0.0195639,8000
0.0195639,8050
0.0195639,8100
0.0195639,8150
0.0195639,8200
0.0195639,8250
0.0195639,8300
0.0195639,8350
0.0195639,8400
0.0195639,8450
0.0195639,8500
0.0195639,8550
0.0195639,8600
0.0195639,8650
0.0195639,8700
0.0195639,8750
0.0195639,8800
0.0195639,8850
0.0195639,8900
0.0195639,8950
0.0195639,9000
0.0195639,9050
0.0195639,9100
0.0195639,9150
0.0195639,9200
0.0195639,9250
0.0195639,9300
0.0195639,9350
0.0195639,9400
0.0195639,9450
0.0195639,9500
0.0195639,9550
0.0195639,9600
0.0195639,9650
0.0195639,9700
0.0195639,9750
0.0195639,9800
0.0195639,9850
0.0195639,9900
0.0195639,9950
0.0195639,10000
0.0195639,10050
0.0195639,10100
0.0195639,10150
0.0195639,10200
0.0195639,10250
0.0195639,10300
0.0195639,10350
0.0195639,10400
0.0195639,10450
0.0195639,10500
0.0195639,10550
0.0195639,10600
0.0195639,10650
0.0195639,10700
0.0195639,10750
0.0195639,10800
0.0195639,10850
0.0195639,10900
0.0195639,10950
0.0195639,11000
0.0195639,11050
0.0195639,11100
0.0195639,11150
0.0195639,11200
0.0195639,11250
0.0195639,11300
0.0195639,11350
0.0195639,11400
0.0195639,11450
0.0195639,11500
0.0195639,11550
0.0195639,11600
0.0195639,11650
0.0195639,11700
0.0195639,11750
0.0195639,11800
0.0195639,11850
0.0195639,11900
0.0195639,11950
0.0195639,12000
0.0195639,12050
0.0195639,12100
0.0195639,12150
0.0195639,12200
0.0195639,12250
0.0195639,12300
0.0195639,12350
0.0195639,12400
0.0195639,12450
0.0195639,12500
0.0195639,12550
0.0195639,12600
0.0195639,12650
0.0195639,12700
0.0195639,12750
0.0195639,12800
0.0195639,12850
0.0195639,12900
0.0195639,12950
0.0195639,13000
0.0195639,13050
0.0195639,13100
0.0195639,13150
0.0195639,13200
0.0195639,13250
0.0195639,13300
0.0195639,13350
0.0195639,13400
0.0195639,13450
0.0195639,13500
0.0195639,13550
0.0195639,13600
0.0195639,13650
0.0195639,13700
0.0195639,13750
0.0195639,13800
0.0195639,13850
0.0195639,13900
0.0195639,13950
0.0195639,14000
0.0195639,14050
0.0195639,14100
0.0195639,14150
0.0195639,14200
0.0195639,14250
0.0195639,14300
0.0195639,14350
0.0195639,14400
0.0195639,14450
0.0195639,14500
0.0195639,14550
0.0195639,14600
0.0195639,14650
0.0195639,14700
0.0195639,14750
0.0195639,14800
0.0195639,14850
0.0195639,14900
0.0195639,14950
0.0195639,15000
0.0195639,15050
0.0195639,15100
0.0195639,15150
0.0195639,15200
0.0195639,15250
0.0195639,15300
0.0195639,15350
0.0195639,15400
0.0195639,15450
