Average node displacement, Average absolute node displacement, Iteration number
0.00,0.00,0
0,0,50
-6.77504e-08,6.77504e-08,100
-3.66384e-08,3.83077e-08,150
-7.07264e-08,7.17189e-08,200
-1.67275e-07,1.67275e-07,250
-2.99669e-07,2.99669e-07,300
-4.3979e-07,4.3979e-07,350
-5.76224e-07,5.76445e-07,400
-7.73797e-07,7.73882e-07,450
-9.95413e-07,9.95571e-07,500
-1.23162e-06,1.23166e-06,550
-1.39925e-06,1.39954e-06,600
-1.47627e-06,1.47678e-06,650
-1.48806e-06,1.48932e-06,700
-1.46963e-06,1.47136e-06,750
-1.45173e-06,1.45331e-06,800
-1.44017e-06,1.44274e-06,850
-1.41884e-06,1.42172e-06,900
-1.40772e-06,1.41081e-06,950
-1.38412e-06,1.38624e-06,1000
-1.35834e-06,1.35994e-06,1050
-1.34069e-06,1.34178e-06,1100
-1.32563e-06,1.32937e-06,1150
-1.30061e-06,1.30396e-06,1200
-1.28966e-06,1.29424e-06,1250
-1.26618e-06,1.26823e-06,1300
-1.24113e-06,1.24432e-06,1350
-1.21719e-06,1.22043e-06,1400
-1.19151e-06,1.19414e-06,1450
-1.16926e-06,1.17298e-06,1500
-1.16184e-06,1.16714e-06,1550
-1.14699e-06,1.15065e-06,1600
-1.12494e-06,1.12743e-06,1650
-1.11113e-06,1.11546e-06,1700
-1.09605e-06,1.09902e-06,1750
-1.09022e-06,1.09461e-06,1800
-1.09554e-06,1.09715e-06,1850
-1.1135e-06,1.1167e-06,1900
-1.18501e-06,1.19067e-06,1950
-1.54097e-06,1.56147e-06,2000
-1.80567e-06,1.80792e-06,2050
-1.882e-06,1.8838e-06,2100
-1.98006e-06,1.98235e-06,2150
-2.01752e-06,2.01752e-06,2200
-2.0016e-06,2.00794e-06,2250
-2.04751e-06,2.04751e-06,2300
-2.05689e-06,2.05903e-06,2350
-1.9877e-06,1.98909e-06,2400
-1.93813e-06,1.94069e-06,2450
-1.91406e-06,1.91648e-06,2500
-1.89947e-06,1.90026e-06,2550
-1.89193e-06,1.89298e-06,2600
-1.89048e-06,1.89081e-06,2650
-1.87425e-06,1.87435e-06,2700
-1.85797e-06,1.85914e-06,2750
-1.86496e-06,1.86496e-06,2800
-1.86767e-06,1.86929e-06,2850
-1.86735e-06,1.86735e-06,2900
-1.85896e-06,1.86037e-06,2950
-1.86026e-06,1.86119e-06,3000
-1.86703e-06,1.86883e-06,3050
-1.87804e-06,1.88046e-06,3100
-1.89083e-06,1.89085e-06,3150
-1.92254e-06,1.92254e-06,3200
-1.98389e-06,1.98389e-06,3250
-2.1006e-06,2.1006e-06,3300
-2.18205e-06,2.18205e-06,3350
-2.28792e-06,2.28792e-06,3400
-2.48112e-06,2.48112e-06,3450
-2.6371e-06,2.6371e-06,3500
-2.70636e-06,2.70636e-06,3550
-2.72793e-06,2.72793e-06,3600
-2.74896e-06,2.74896e-06,3650
-2.74516e-06,2.74516e-06,3700
-2.73699e-06,2.73699e-06,3750
-2.74595e-06,2.74595e-06,3800
-2.74493e-06,2.74493e-06,3850
-2.75624e-06,2.75624e-06,3900
-2.76395e-06,2.76395e-06,3950
-2.76702e-06,2.76702e-06,4000
-2.76228e-06,2.76228e-06,4050
-2.76645e-06,2.76645e-06,4100
-2.76288e-06,2.76288e-06,4150
-2.76553e-06,2.76553e-06,4200
-2.76021e-06,2.76021e-06,4250
-2.76298e-06,2.76298e-06,4300
-2.75779e-06,2.75779e-06,4350
-2.76338e-06,2.76338e-06,4400
-2.75817e-06,2.75817e-06,4450
-2.76122e-06,2.76122e-06,4500
-2.74676e-06,2.74676e-06,4550
-2.75652e-06,2.75652e-06,4600
-2.76299e-06,2.76299e-06,4650
-2.76839e-06,2.76839e-06,4700
-2.76357e-06,2.76357e-06,4750
-2.75607e-06,2.75607e-06,4800
-2.75847e-06,2.75847e-06,4850
-2.75496e-06,2.75496e-06,4900
-2.7565e-06,2.7565e-06,4950
-2.75742e-06,2.75742e-06,5000
-2.76566e-06,2.76566e-06,5050
-2.75387e-06,2.75387e-06,5100
-2.76054e-06,2.76054e-06,5150
-2.76322e-06,2.76322e-06,5200
-2.76828e-06,2.76828e-06,5250
-2.76278e-06,2.76278e-06,5300
-2.75782e-06,2.75782e-06,5350
-2.75382e-06,2.75382e-06,5400
-2.75327e-06,2.75327e-06,5450
-2.75698e-06,2.75698e-06,5500
-2.75585e-06,2.75585e-06,5550
-2.75901e-06,2.75901e-06,5600
-2.76375e-06,2.76375e-06,5650
-2.75233e-06,2.75233e-06,5700
-2.77212e-06,2.77212e-06,5750
-2.75946e-06,2.75946e-06,5800
-2.75841e-06,2.75841e-06,5850
-2.75528e-06,2.75528e-06,5900
-2.75979e-06,2.75979e-06,5950
-2.74734e-06,2.74734e-06,6000
-2.75746e-06,2.75746e-06,6050
-2.75629e-06,2.75629e-06,6100
-2.75438e-06,2.75438e-06,6150
-2.76167e-06,2.76167e-06,6200
-2.76281e-06,2.76281e-06,6250
-2.76076e-06,2.76076e-06,6300
-2.75586e-06,2.75586e-06,6350
-2.75978e-06,2.75978e-06,6400
-2.76315e-06,2.76315e-06,6450
-2.7594e-06,2.7594e-06,6500
-2.7566e-06,2.7566e-06,6550
-2.76002e-06,2.76002e-06,6600
-2.76268e-06,2.76268e-06,6650
-2.76828e-06,2.76828e-06,6700
-2.76439e-06,2.76439e-06,6750
-2.76125e-06,2.76125e-06,6800
-2.75647e-06,2.75647e-06,6850
-2.76036e-06,2.76036e-06,6900
-2.75367e-06,2.75367e-06,6950
-2.75985e-06,2.75985e-06,7000
-2.75902e-06,2.75902e-06,7050
-2.7562e-06,2.7562e-06,7100
-2.75786e-06,2.75786e-06,7150
-2.75611e-06,2.75611e-06,7200
-2.76326e-06,2.76326e-06,7250
-2.76068e-06,2.76068e-06,7300
-2.76115e-06,2.76115e-06,7350
-2.76439e-06,2.76439e-06,7400
-2.75328e-06,2.75328e-06,7450
-2.75589e-06,2.75589e-06,7500
-2.75881e-06,2.75881e-06,7550
-2.7622e-06,2.7622e-06,7600
-2.76444e-06,2.76444e-06,7650
-2.7697e-06,2.7697e-06,7700
-2.77113e-06,2.77113e-06,7750
-2.76862e-06,2.76862e-06,7800
-2.76716e-06,2.76716e-06,7850
-2.76674e-06,2.76674e-06,7900
-2.76863e-06,2.76863e-06,7950
-2.76205e-06,2.76205e-06,8000
-2.76797e-06,2.76797e-06,8050
-2.76795e-06,2.76795e-06,8100
-2.76744e-06,2.76744e-06,8150
-2.76316e-06,2.76316e-06,8200
-2.76884e-06,2.76884e-06,8250
-2.76149e-06,2.76149e-06,8300
-2.76397e-06,2.76397e-06,8350
-2.76791e-06,2.76791e-06,8400
